state,city,last_updated_day,PM10,PM2,NO2,NH3,SO2,CO,OZONE,AQI
Delhi,Delhi,2015-01-14,568.6,33.1,145.7,16.7,13.5,2.65,89.5,361.0
Karnataka,Bangalore,2015-01-15,429.8,415.9,140.1,29.8,30.9,1.46,135.4,499.4
Delhi,Delhi,2015-01-15,597.1,67.7,34.8,38.8,13.3,5.05,48.5,481.7
West Bengal,Kolkata,2015-01-15,121.1,63.1,8.3,27.9,5.6,3.54,171.2,464.6
Delhi,Delhi,2015-01-16,260.2,283.3,12.5,1.9,91.3,1.88,167.1,240.1
West Bengal,Kolkata,2015-01-16,279.2,42.1,74.1,35.0,82.4,4.72,169.0,255.0
Karnataka,Bangalore,2015-01-16,108.9,198.2,102.7,7.9,8.2,9.48,59.1,261.6
Delhi,Delhi,2015-01-17,185.2,378.5,129.2,37.9,98.7,6.57,81.2,257.4
West Bengal,Kolkata,2015-01-17,296.7,475.3,70.6,39.1,97.8,8.12,59.1,234.2
Karnataka,Bangalore,2015-01-17,476.1,368.9,90.5,8.4,41.4,6.73,5.3,3.8
West Bengal,Kolkata,2015-01-18,407.1,408.7,70.4,45.6,97.0,0.4,94.0,224.7
Karnataka,Bangalore,2015-01-18,456.9,14.0,112.2,16.0,11.9,8.68,27.3,104.3
Delhi,Delhi,2015-01-18,401.3,486.5,1.0,21.3,63.0,2.88,171.9,439.8
Delhi,Delhi,2015-01-19,498.0,176.7,98.2,44.6,95.7,7.15,100.2,102.0
West Bengal,Kolkata,2015-01-19,534.5,58.6,6.5,47.9,64.1,1.92,171.6,467.9
Karnataka,Bangalore,2015-01-19,78.0,306.8,115.6,30.5,0.8,3.47,140.9,273.1
Delhi,Delhi,2015-01-20,42.5,187.7,4.3,33.2,60.7,1.87,172.3,374.5
West Bengal,Kolkata,2015-01-20,356.9,394.8,108.2,33.0,11.3,9.2,188.0,207.0
Karnataka,Bangalore,2015-01-20,185.2,465.8,75.5,2.2,49.3,6.13,127.4,38.1
Delhi,Delhi,2015-01-21,506.4,3.5,146.1,2.6,81.4,3.92,53.8,192.3
West Bengal,Kolkata,2015-01-21,514.2,96.1,57.8,36.7,69.3,1.08,155.2,440.5
Karnataka,Bangalore,2015-01-21,271.6,21.2,46.7,20.2,40.6,1.16,183.6,384.3
Karnataka,Bangalore,2015-01-22,53.0,180.2,132.1,9.3,2.7,6.29,125.7,22.1
West Bengal,Kolkata,2015-01-22,112.7,247.5,5.3,26.4,35.7,1.01,163.7,85.0
Delhi,Delhi,2015-01-22,423.9,403.8,41.3,23.0,68.2,8.67,135.0,126.7
Delhi,Delhi,2015-01-23,365.1,157.5,57.5,41.2,37.0,4.1,139.6,362.2
West Bengal,Kolkata,2015-01-23,541.7,437.7,91.2,44.1,2.6,6.09,17.6,87.5
Karnataka,Bangalore,2015-01-23,122.7,469.0,104.5,34.2,84.1,6.35,151.6,286.9
Delhi,Delhi,2015-01-24,442.6,188.3,82.8,13.7,3.6,0.53,37.1,288.8
West Bengal,Kolkata,2015-01-24,208.7,141.5,79.3,8.0,27.3,5.06,20.2,130.4
Karnataka,Bangalore,2015-01-24,579.7,172.9,21.4,6.2,50.8,6.28,159.2,105.6
West Bengal,Kolkata,2015-01-25,432.1,113.3,3.6,27.4,91.8,7.8,48.3,119.2
Delhi,Delhi,2015-01-25,457.0,397.3,100.4,21.1,76.0,7.67,2.7,148.4
Karnataka,Bangalore,2015-01-25,22.7,219.2,121.4,31.6,95.3,6.53,58.6,390.6
Delhi,Delhi,2015-01-26,576.0,336.2,6.6,0.4,96.1,4.15,165.4,260.0
West Bengal,Kolkata,2015-01-26,474.7,13.2,82.2,20.6,35.6,7.59,29.9,264.2
Karnataka,Bangalore,2015-01-26,119.4,274.2,34.3,19.5,79.3,0.31,20.4,319.9
West Bengal,Kolkata,2015-01-27,527.0,316.8,28.6,14.1,95.6,2.1,91.4,213.1
Karnataka,Bangalore,2015-01-27,203.6,469.0,120.8,27.3,65.7,4.59,110.2,78.7
Delhi,Delhi,2015-01-27,443.0,125.9,120.4,41.6,30.5,4.44,91.4,225.8
West Bengal,Kolkata,2015-01-28,41.8,4.5,123.5,44.8,36.0,7.97,109.7,128.0
Karnataka,Bangalore,2015-01-28,152.5,447.1,131.8,12.1,30.7,8.66,172.3,92.9
Delhi,Delhi,2015-01-28,557.4,67.1,141.9,39.4,58.0,5.7,4.3,260.7
Karnataka,Bangalore,2015-01-29,95.3,258.8,77.9,13.3,16.4,6.48,150.5,232.0
West Bengal,Kolkata,2015-01-29,595.6,436.0,86.0,2.9,9.6,5.1,77.4,218.0
Delhi,Delhi,2015-01-29,457.2,122.3,46.7,13.7,95.0,0.77,127.3,44.1
Delhi,Delhi,2015-01-30,128.0,485.5,103.7,10.8,6.5,1.14,133.6,337.9
West Bengal,Kolkata,2015-01-30,249.9,140.8,95.8,12.8,79.8,1.0,8.9,133.6
Karnataka,Bangalore,2015-01-30,418.7,17.6,62.8,44.5,85.4,8.19,94.4,493.9
Delhi,Delhi,2015-01-31,355.9,405.9,88.1,26.6,87.6,6.87,109.2,489.9
West Bengal,Kolkata,2015-01-31,486.9,345.1,34.3,1.3,87.9,3.72,124.3,81.5
Karnataka,Bangalore,2015-01-31,71.1,327.5,105.1,3.0,4.4,6.85,28.9,432.3
West Bengal,Kolkata,2015-02-01,568.9,73.6,138.6,5.6,51.7,9.39,133.0,266.8
Karnataka,Bangalore,2015-02-01,397.9,245.6,91.1,46.1,59.0,1.84,6.3,211.4
Delhi,Delhi,2015-02-01,172.2,4.2,0.9,47.1,91.0,2.99,36.4,447.5
Delhi,Delhi,2015-02-02,286.2,334.2,139.7,32.4,14.9,2.99,76.3,266.8
West Bengal,Kolkata,2015-02-02,124.6,469.7,63.3,20.3,16.3,3.5,83.5,274.5
Karnataka,Bangalore,2015-02-02,8.8,265.2,97.5,15.6,41.5,1.71,85.7,480.9
Delhi,Delhi,2015-02-03,5.6,292.7,110.9,34.1,49.8,4.79,55.2,40.7
West Bengal,Kolkata,2015-02-03,10.0,304.6,15.7,32.3,18.4,9.1,123.3,472.3
Karnataka,Bangalore,2015-02-03,371.0,413.9,37.8,6.5,56.1,8.55,132.0,235.7
Karnataka,Bangalore,2015-02-04,253.1,76.2,88.6,4.4,46.3,4.31,79.7,377.2
Delhi,Delhi,2015-02-04,254.3,413.1,44.4,23.1,39.5,5.08,28.9,365.4
West Bengal,Kolkata,2015-02-04,345.4,439.2,5.5,41.5,84.5,3.03,177.7,409.8
Karnataka,Bangalore,2015-02-05,57.2,73.8,37.9,6.5,47.3,1.48,86.3,6.0
West Bengal,Kolkata,2015-02-05,15.7,218.2,92.3,44.2,43.6,9.91,118.7,62.8
Delhi,Delhi,2015-02-05,328.3,172.9,28.6,13.3,85.2,8.51,189.5,37.6
Delhi,Delhi,2015-02-06,436.9,23.8,88.6,1.1,71.2,0.46,144.9,52.3
West Bengal,Kolkata,2015-02-06,404.5,417.5,67.2,30.9,89.3,0.15,104.3,235.0
Karnataka,Bangalore,2015-02-06,201.4,56.8,121.0,26.2,20.6,9.2,48.5,93.3
Delhi,Delhi,2015-02-07,288.6,207.1,66.6,49.8,71.2,0.73,51.0,261.6
West Bengal,Kolkata,2015-02-07,347.2,332.8,117.4,49.0,43.8,3.04,147.0,456.4
Karnataka,Bangalore,2015-02-07,280.7,375.1,115.6,37.8,4.0,2.47,71.1,173.3
West Bengal,Kolkata,2015-02-08,201.9,138.5,103.3,2.5,45.0,0.15,166.9,358.7
Karnataka,Bangalore,2015-02-08,346.6,287.3,114.7,41.5,52.6,4.48,140.8,205.0
Delhi,Delhi,2015-02-08,132.5,21.0,105.3,27.5,26.8,1.86,18.6,311.0
Delhi,Delhi,2015-02-09,581.6,476.6,73.0,12.6,29.9,6.1,106.4,326.7
West Bengal,Kolkata,2015-02-09,105.8,161.0,67.7,26.0,0.8,7.06,17.3,38.1
Karnataka,Bangalore,2015-02-09,331.6,270.0,4.6,22.1,63.3,9.34,174.6,64.4
Delhi,Delhi,2015-02-10,178.7,262.9,34.7,39.8,2.5,1.08,142.6,437.3
West Bengal,Kolkata,2015-02-10,266.0,162.9,2.2,1.6,47.6,5.95,17.5,295.8
Karnataka,Bangalore,2015-02-10,43.5,419.1,35.5,28.1,22.3,4.99,40.9,440.1
Karnataka,Bangalore,2015-02-11,526.8,127.8,134.0,33.8,91.1,1.79,14.8,367.5
Delhi,Delhi,2015-02-11,210.8,87.9,149.5,9.6,34.9,6.64,72.4,26.7
West Bengal,Kolkata,2015-02-11,229.5,265.3,78.7,6.3,57.7,8.29,91.6,306.8
West Bengal,Kolkata,2015-02-12,277.6,458.1,62.8,6.4,79.6,6.46,55.0,453.4
Karnataka,Bangalore,2015-02-12,363.3,318.1,121.0,31.0,66.8,7.97,172.9,355.9
Delhi,Delhi,2015-02-12,398.4,416.1,127.7,45.7,8.0,3.24,27.4,413.9
Delhi,Delhi,2015-02-13,531.8,64.2,50.7,18.3,7.3,1.17,122.4,205.5
West Bengal,Kolkata,2015-02-13,47.3,142.6,24.0,23.9,61.5,4.38,189.9,486.9
Karnataka,Bangalore,2015-02-13,170.3,98.7,102.2,36.4,98.6,1.24,72.7,330.6
Delhi,Delhi,2015-02-14,226.1,381.0,137.1,48.1,88.5,8.28,134.2,493.5
West Bengal,Kolkata,2015-02-14,239.9,90.9,69.9,8.7,3.8,4.36,57.3,14.4
Karnataka,Bangalore,2015-02-14,324.1,308.9,77.5,32.9,91.4,5.28,124.7,75.0
West Bengal,Kolkata,2015-02-15,584.0,430.0,5.4,32.8,49.1,1.74,98.0,85.7
Karnataka,Bangalore,2015-02-15,233.0,148.2,70.1,44.7,77.6,2.2,46.2,52.2
Delhi,Delhi,2015-02-15,412.5,389.3,85.3,27.1,60.6,9.15,41.6,9.8
Delhi,Delhi,2015-02-16,70.3,65.4,43.2,22.6,30.2,4.59,31.9,118.1
West Bengal,Kolkata,2015-02-16,302.3,483.9,54.9,34.2,4.2,3.97,65.7,482.7
Karnataka,Bangalore,2015-02-16,58.1,63.0,61.6,8.5,6.0,8.63,86.4,274.3
Delhi,Delhi,2015-02-17,417.6,355.9,5.5,6.8,22.2,0.31,140.9,464.4
West Bengal,Kolkata,2015-02-17,446.7,319.1,72.9,21.9,58.2,7.33,171.9,157.2
Karnataka,Bangalore,2015-02-17,186.4,475.1,15.7,37.6,99.3,5.58,137.5,125.1
Karnataka,Bangalore,2015-02-18,376.8,355.2,91.9,11.6,52.0,2.71,31.8,340.5
Delhi,Delhi,2015-02-18,553.2,252.3,11.2,20.0,82.4,0.78,7.8,208.6
West Bengal,Kolkata,2015-02-18,268.1,356.3,91.2,19.4,35.6,4.37,101.0,334.6
Karnataka,Bangalore,2015-02-19,531.0,460.0,40.0,48.3,46.6,3.97,58.9,290.1
West Bengal,Kolkata,2015-02-19,239.0,350.5,20.9,45.3,46.0,8.29,198.4,53.2
Delhi,Delhi,2015-02-19,576.9,450.2,74.7,3.1,81.9,7.77,163.1,456.4
Delhi,Delhi,2015-02-20,329.0,318.0,64.2,41.1,5.8,1.94,60.0,16.1
West Bengal,Kolkata,2015-02-20,301.5,177.0,7.0,29.0,39.1,8.92,47.4,40.3
Karnataka,Bangalore,2015-02-20,217.8,345.0,115.1,7.6,32.2,1.17,174.7,110.2
Delhi,Delhi,2015-02-21,212.9,121.9,49.6,41.1,9.6,0.08,178.5,412.8
West Bengal,Kolkata,2015-02-21,548.3,398.8,5.9,30.5,80.2,4.36,73.9,393.7
Karnataka,Bangalore,2015-02-21,510.7,438.0,43.7,46.5,23.8,3.85,30.4,253.4
West Bengal,Kolkata,2015-02-22,431.8,434.1,117.4,30.2,28.8,9.85,106.7,314.5
Karnataka,Bangalore,2015-02-22,176.1,353.4,109.3,0.8,5.8,4.88,51.5,362.5
Delhi,Delhi,2015-02-22,388.7,190.3,75.4,22.8,28.6,1.79,34.3,136.1
Delhi,Delhi,2015-02-23,553.9,318.1,62.7,15.4,62.8,7.9,166.5,305.5
West Bengal,Kolkata,2015-02-23,313.2,415.9,18.7,7.6,15.7,0.62,7.8,65.5
Karnataka,Bangalore,2015-02-23,326.1,159.9,33.0,13.1,27.4,8.86,139.6,13.2
Delhi,Delhi,2015-02-24,131.5,199.8,148.8,32.5,40.6,1.49,77.0,286.3
West Bengal,Kolkata,2015-02-24,572.0,149.5,68.0,47.1,99.4,0.91,162.4,237.2
Karnataka,Bangalore,2015-02-24,414.2,39.4,35.7,49.2,31.8,6.17,96.6,95.9
Karnataka,Bangalore,2015-02-25,581.4,448.5,60.2,0.3,13.7,0.18,44.3,227.2
Delhi,Delhi,2015-02-25,458.8,169.2,47.3,38.4,5.3,5.76,39.1,110.8
West Bengal,Kolkata,2015-02-25,525.7,331.7,80.4,42.0,8.7,2.38,48.1,393.7
West Bengal,Kolkata,2015-02-26,311.4,156.5,48.4,12.7,3.1,5.18,63.7,92.5
Karnataka,Bangalore,2015-02-26,523.7,356.0,125.4,9.9,63.9,1.17,75.1,492.4
Delhi,Delhi,2015-02-26,572.9,92.3,87.6,34.5,84.7,5.96,113.8,465.8
Karnataka,Bangalore,2015-02-27,535.2,463.2,121.0,3.8,33.7,0.31,149.2,160.5
Delhi,Delhi,2015-02-27,74.8,60.5,55.4,33.9,79.0,1.28,168.7,335.7
West Bengal,Kolkata,2015-02-27,33.4,80.7,149.3,14.8,86.8,0.03,36.0,442.5
Delhi,Delhi,2015-02-28,169.7,109.0,88.7,40.5,54.7,4.54,147.9,295.8
West Bengal,Kolkata,2015-02-28,297.3,389.3,93.9,11.3,43.4,6.81,19.7,283.9
Karnataka,Bangalore,2015-02-28,286.6,234.1,66.1,28.1,93.3,8.78,45.0,408.3
Delhi,Delhi,2015-03-01,305.1,382.8,149.4,37.7,89.7,5.45,145.9,353.7
West Bengal,Kolkata,2015-03-01,476.8,304.6,39.0,16.5,77.4,1.37,11.9,195.5
Karnataka,Bangalore,2015-03-01,471.2,320.5,100.4,45.1,64.8,0.47,154.7,464.8
West Bengal,Kolkata,2015-03-02,330.8,488.9,21.1,11.0,33.9,9.15,167.3,72.2
Karnataka,Bangalore,2015-03-02,61.7,197.2,13.7,44.1,25.7,9.96,172.7,123.4
Delhi,Delhi,2015-03-02,439.0,343.1,141.3,44.3,55.8,9.66,18.8,108.5
Delhi,Delhi,2015-03-03,531.1,154.6,53.0,19.5,76.5,2.57,62.9,142.4
West Bengal,Kolkata,2015-03-03,464.8,469.0,115.5,15.0,59.9,6.14,119.2,288.6
Karnataka,Bangalore,2015-03-03,33.3,147.2,59.6,36.2,57.5,0.39,126.9,225.8
Delhi,Delhi,2015-03-04,431.4,104.3,105.2,20.7,84.6,2.37,12.1,19.2
West Bengal,Kolkata,2015-03-04,195.1,281.9,19.2,0.3,57.6,5.26,181.8,481.8
Karnataka,Bangalore,2015-03-04,278.3,196.7,44.4,4.9,25.0,6.02,108.7,12.5
Karnataka,Bangalore,2015-03-05,545.8,217.6,144.5,17.0,5.4,6.82,120.2,275.8
Delhi,Delhi,2015-03-05,418.6,267.4,134.9,32.1,29.5,5.79,167.7,103.7
West Bengal,Kolkata,2015-03-05,65.3,392.9,148.0,20.1,14.8,4.06,128.3,373.9
Karnataka,Bangalore,2015-03-06,391.5,33.5,8.0,5.2,51.1,9.8,132.4,425.8
West Bengal,Kolkata,2015-03-06,577.8,480.4,76.7,24.3,82.5,7.17,167.0,158.1
Delhi,Delhi,2015-03-06,150.5,217.0,94.6,5.2,49.2,3.37,112.6,497.7
Delhi,Delhi,2015-03-07,103.3,341.0,134.5,28.7,72.7,8.73,50.8,172.7
West Bengal,Kolkata,2015-03-07,592.4,50.2,28.5,34.9,52.5,5.59,74.0,211.5
Karnataka,Bangalore,2015-03-07,384.2,72.3,100.8,13.9,47.3,6.22,198.9,204.0
Delhi,Delhi,2015-03-08,353.5,186.3,35.7,25.9,43.2,4.94,172.5,68.1
West Bengal,Kolkata,2015-03-08,597.9,340.5,92.0,3.1,61.9,8.26,8.6,453.3
Karnataka,Bangalore,2015-03-08,280.0,314.7,93.2,7.8,14.4,5.68,177.3,10.2
West Bengal,Kolkata,2015-03-09,468.1,381.5,46.3,14.0,36.3,1.81,128.7,173.5
Karnataka,Bangalore,2015-03-09,110.1,362.7,83.8,6.0,55.8,8.65,197.9,498.0
Delhi,Delhi,2015-03-09,369.8,454.9,142.0,5.0,36.1,2.34,4.7,368.9
Delhi,Delhi,2015-03-10,293.3,59.5,145.1,40.8,27.4,5.14,62.6,20.8
West Bengal,Kolkata,2015-03-10,260.6,145.5,117.2,33.0,33.8,8.94,92.7,457.2
Karnataka,Bangalore,2015-03-10,470.5,361.6,141.8,45.8,92.3,6.89,95.9,472.6
Delhi,Delhi,2015-03-11,507.7,392.8,132.2,3.3,5.9,2.96,43.5,246.4
West Bengal,Kolkata,2015-03-11,196.5,455.4,76.0,23.9,14.9,3.32,165.0,359.3
Karnataka,Bangalore,2015-03-11,306.2,5.3,78.5,13.3,65.6,2.85,157.4,246.5
Karnataka,Bangalore,2015-03-12,558.5,156.2,8.3,3.0,90.2,8.97,136.9,183.3
Delhi,Delhi,2015-03-12,45.8,351.1,147.7,49.6,82.6,8.38,107.6,376.3
West Bengal,Kolkata,2015-03-12,128.7,419.2,115.5,32.0,89.5,3.8,104.7,321.1
Karnataka,Bangalore,2015-03-13,129.7,496.9,58.1,16.2,33.6,2.46,16.9,316.6
West Bengal,Kolkata,2015-03-13,371.7,493.1,110.6,24.4,2.3,2.87,33.1,154.1
Delhi,Delhi,2015-03-13,114.7,134.0,96.8,4.2,92.0,2.91,174.9,176.3
Delhi,Delhi,2015-03-14,235.0,130.0,4.6,25.2,60.5,3.19,189.6,74.1
West Bengal,Kolkata,2015-03-14,564.4,145.0,115.8,22.3,40.6,8.93,54.8,277.6
Karnataka,Bangalore,2015-03-14,186.0,60.6,59.1,22.1,48.5,1.03,102.2,391.4
Delhi,Delhi,2015-03-15,20.0,429.2,45.4,41.4,93.0,7.73,67.2,467.3
West Bengal,Kolkata,2015-03-15,446.7,380.3,138.3,29.9,42.6,6.67,152.2,357.2
Karnataka,Bangalore,2015-03-15,60.8,50.0,3.3,9.6,45.1,1.86,44.0,486.2
West Bengal,Kolkata,2015-03-16,165.5,207.1,94.7,29.2,14.8,7.92,23.3,100.9
Karnataka,Bangalore,2015-03-16,567.3,493.3,8.9,5.6,57.4,2.08,85.2,157.5
Delhi,Delhi,2015-03-16,358.4,155.4,62.8,25.3,9.7,0.82,89.1,436.1
Delhi,Delhi,2015-03-17,361.7,348.1,139.4,49.4,60.5,1.82,67.7,42.4
West Bengal,Kolkata,2015-03-17,362.1,31.5,73.8,38.5,33.7,7.03,61.5,477.9
Karnataka,Bangalore,2015-03-17,322.2,220.7,58.4,27.3,58.6,6.57,123.4,289.5
Delhi,Delhi,2015-03-18,289.1,441.6,131.6,34.0,54.3,3.31,185.5,403.6
West Bengal,Kolkata,2015-03-18,92.3,243.7,70.5,4.8,64.6,0.79,37.3,256.2
Karnataka,Bangalore,2015-03-18,466.3,112.7,100.2,40.3,99.6,5.25,33.1,31.3
Karnataka,Bangalore,2015-03-19,489.0,246.6,139.9,16.2,13.5,7.54,133.1,360.9
Delhi,Delhi,2015-03-19,542.3,134.6,94.3,9.6,36.9,4.72,102.4,280.8
West Bengal,Kolkata,2015-03-19,449.5,62.6,52.2,26.8,89.2,6.67,197.1,446.3
Karnataka,Bangalore,2015-03-20,395.7,17.5,143.2,34.7,1.0,9.41,69.0,84.1
West Bengal,Kolkata,2015-03-20,11.7,127.1,29.0,11.8,7.8,6.31,175.9,111.0
Delhi,Delhi,2015-03-20,348.6,102.7,130.1,17.7,91.3,4.24,151.7,295.2
Delhi,Delhi,2015-03-21,424.2,117.6,83.7,19.8,70.2,8.62,18.7,104.5
West Bengal,Kolkata,2015-03-21,537.1,323.9,24.6,43.4,17.0,7.58,115.7,207.3
Karnataka,Bangalore,2015-03-21,205.0,174.8,103.5,39.9,54.4,4.56,193.1,440.6
Delhi,Delhi,2015-03-22,144.0,301.5,55.6,14.1,60.7,3.54,61.7,216.1
West Bengal,Kolkata,2015-03-22,208.1,488.6,96.9,18.4,30.9,1.21,82.0,215.9
Karnataka,Bangalore,2015-03-22,417.5,24.7,149.7,11.1,82.5,1.61,120.8,81.5
West Bengal,Kolkata,2015-03-23,9.8,442.5,130.6,24.5,27.8,6.55,128.0,284.6
Karnataka,Bangalore,2015-03-23,16.8,331.9,118.1,48.0,30.2,2.06,20.4,299.1
Delhi,Delhi,2015-03-23,540.0,439.1,68.6,41.2,93.0,6.0,134.5,271.9
Delhi,Delhi,2015-03-24,293.9,437.8,47.2,25.7,41.0,2.92,19.5,34.5
West Bengal,Kolkata,2015-03-24,56.8,236.3,43.5,30.4,46.7,2.37,0.0,223.5
Karnataka,Bangalore,2015-03-24,588.4,428.4,57.9,22.6,71.4,7.08,189.6,80.3
Delhi,Delhi,2015-03-25,234.8,450.7,94.8,38.7,99.7,4.21,193.7,251.1
West Bengal,Kolkata,2015-03-25,374.0,224.5,148.8,18.6,74.3,5.98,115.7,448.7
Karnataka,Bangalore,2015-03-25,358.7,46.1,148.6,41.2,13.6,2.82,64.3,380.6
Karnataka,Bangalore,2015-03-26,595.3,106.4,26.1,21.2,34.4,9.66,79.5,160.2
Delhi,Delhi,2015-03-26,577.6,285.7,81.0,10.3,88.4,6.68,156.5,359.0
West Bengal,Kolkata,2015-03-26,78.3,223.1,7.8,6.5,8.0,8.58,68.8,442.9
Karnataka,Bangalore,2015-03-27,304.6,200.3,132.0,25.6,16.2,1.29,36.0,41.5
West Bengal,Kolkata,2015-03-27,126.2,364.4,50.0,15.3,70.3,4.77,25.1,484.3
Delhi,Delhi,2015-03-27,306.6,73.3,43.7,31.9,49.4,5.43,50.1,35.4
Delhi,Delhi,2015-03-28,529.7,158.3,131.3,15.9,59.1,8.72,141.7,376.7
West Bengal,Kolkata,2015-03-28,125.2,118.6,144.8,5.8,25.0,3.1,2.2,494.4
Karnataka,Bangalore,2015-03-28,579.8,371.3,116.1,46.0,51.5,6.35,54.9,7.1
Delhi,Delhi,2015-03-29,137.4,383.4,19.1,29.1,24.4,0.78,101.9,405.4
West Bengal,Kolkata,2015-03-29,330.0,34.4,5.4,25.2,50.4,6.47,5.2,283.4
Karnataka,Bangalore,2015-03-29,241.9,100.6,10.0,15.5,45.1,6.28,24.8,202.1
West Bengal,Kolkata,2015-03-30,42.9,328.6,101.1,40.9,79.3,8.03,18.5,260.0
Karnataka,Bangalore,2015-03-30,213.9,328.8,73.1,35.3,16.8,0.62,43.2,201.8
Delhi,Delhi,2015-03-30,272.3,483.8,125.1,29.9,52.0,8.06,184.7,239.5
Delhi,Delhi,2015-03-31,518.9,407.3,147.8,44.5,56.8,6.17,61.3,220.9
West Bengal,Kolkata,2015-03-31,263.0,459.6,31.8,33.5,70.9,1.3,126.9,93.6
Karnataka,Bangalore,2015-03-31,421.4,498.1,114.7,44.1,23.6,6.65,117.3,490.5
Delhi,Delhi,2015-04-01,199.0,497.0,15.1,32.2,49.5,4.71,91.8,155.8
West Bengal,Kolkata,2015-04-01,513.9,59.0,101.1,43.6,23.0,4.25,25.0,496.9
Karnataka,Bangalore,2015-04-01,41.4,89.9,27.1,4.0,45.8,3.06,8.9,67.7
Karnataka,Bangalore,2015-04-02,328.1,303.2,92.0,43.4,30.3,8.15,80.1,16.6
Delhi,Delhi,2015-04-02,588.2,341.5,100.0,37.1,25.8,5.71,75.1,420.4
West Bengal,Kolkata,2015-04-02,294.7,270.8,16.8,18.4,69.2,9.52,70.9,326.7
